Cluster,Site_ID,Site,Excluded_Criteria,Baseline_Applicable_Weight_Sum,Baseline_WLC,Existing_WLC,Baseline_Check_Delta,Baseline_Class,MC_Mean_WLC,MC_SD,MC_CV_Pct,MC_Min_WLC,MC_Max_WLC,MC_Mean_Delta_From_Baseline,MC_Abs_Mean_Delta_From_Baseline,MC_Mean_Class,MC_Mean_Class_Changed,Baseline_Class_Stability_Count,Baseline_Class_Stability_Pct,Count_Very_Low,Pct_Very_Low,Count_Low,Pct_Low,Count_Moderate,Pct_Moderate,Count_High,Pct_High,Count_Very_High,Pct_Very_High
1,SITE_0018,Church of St. Paraskeva,Soil Erosion; Landslide,0.7880109830335105,2.1764324746506647,2.176432474650664,8.881784197001252e-16,Low,2.1762276107703253,0.03231229295746328,1.4847846244366696,2.0858658953564992,2.2548152670033934,-0.00020486388033935654,0.00020486388033935654,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0019,Church of St. Stefan,Soil Erosion; Landslide,0.7880109830335105,2.1764324746506647,2.176432474650664,8.881784197001252e-16,Low,2.1762276107703253,0.03231229295746328,1.4847846244366696,2.0858658953564992,2.2548152670033934,-0.00020486388033935654,0.00020486388033935654,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0020,Church of St. Theodore,Soil Erosion; Landslide,0.7880109830335105,2.1764324746506647,2.176432474650664,8.881784197001252e-16,Low,2.1762276107703253,0.03231229295746328,1.4847846244366696,2.0858658953564992,2.2548152670033934,-0.00020486388033935654,0.00020486388033935654,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0021,Church of St. Vlahara,Soil Erosion; Landslide,0.7880109830335105,2.1764324746506647,2.176432474650664,8.881784197001252e-16,Low,2.1762276107703253,0.03231229295746328,1.4847846244366696,2.0858658953564992,2.2548152670033934,-0.00020486388033935654,0.00020486388033935654,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0022,Church of the Holy Archangels,Soil Erosion; Landslide,0.7880109830335105,2.1764324746506647,2.176432474650664,8.881784197001252e-16,Low,2.1762276107703253,0.03231229295746328,1.4847846244366696,2.0858658953564992,2.2548152670033934,-0.00020486388033935654,0.00020486388033935654,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0023,Fortification of Mesembria Pontica,Soil Erosion; Landslide,0.7880109830335105,2.4916338255151684,2.491633825515168,4.440892098500626e-16,Low,2.4920713725524726,0.02438213419319866,0.9783882781906671,2.427292434628021,2.552299997721392,0.00043754703730414235,0.00043754703730414235,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0024,Foundations of Basilica Eliusa,Soil Erosion; Landslide,0.7880109830335105,2.1764324746506647,2.176432474650664,8.881784197001252e-16,Low,2.1762276107703253,0.03231229295746328,1.4847846244366696,2.0858658953564992,2.2548152670033934,-0.00020486388033935654,0.00020486388033935654,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0025,Mesembria Terms,Soil Erosion; Landslide,0.7880109830335105,1.7458169127575842,1.745816912757584,2.220446049250313e-16,Very Low,1.7459536368746045,0.03209259910650986,1.8381129045303954,1.6682592694107479,1.8224339502179692,0.00013672411702025933,0.00013672411702025933,Very Low,False,1000,100.0,1000,100.0,0,0.0,0,0.0,0,0.0,0,0.0
1,SITE_0026,Mesembria West St. John,Soil Erosion,0.9119060157463934,4.320871980969085,4.320871980969083,1.7763568394002505e-15,Moderate,4.32052575338546,0.06119423743767183,1.4163608998215436,4.169115310688503,4.484338554887496,-0.000346227583625236,0.000346227583625236,Moderate,False,1000,100.0,0,0.0,0,0.0,1000,100.0,0,0.0,0,0.0
1,SITE_0027,Stara Mitropolia,Soil Erosion; Landslide,0.7880109830335105,2.1764324746506647,2.176432474650664,8.881784197001252e-16,Low,2.1762276107703253,0.03231229295746328,1.4847846244366696,2.0858658953564992,2.2548152670033934,-0.00020486388033935654,0.00020486388033935654,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
