Site_ID,Cluster_3,Site,Region,Location,Neolithic,Neolithic_class,Chalcolithic,Chalcolithic_class,Bronze_Age,Bronze_class,Iron_Age,Iron_class,Roman,Roman_class,Ear_Byz,Ear_Byz_class,F1st_Bul_Emp,F1st_Bul_Emp_class,F2nd_Bul_Emp,F2nd_Bul_Emp_class,Material_general,Exposure_class,Exposure_tx,Int_Status,Nat_Status,DEM_,Slope_,Aspect_cos_,Aspect_sin_,FL_Dist,FL_Depth,rusle_cluster,rusle_log,Rusle_MTH,FWI,Final_FWI,FWI_MTH,FWI_dist_m,FWI_DIST,ELSUS,ELSUS_MTH,ELSUS_DIST,PGA,Lithology,CLC_code,CLC_text,SEIS_SCR,FLOOD_SCR,FWI_SCR,ELSUS_SCR,RUSLE_SCR,ASSET_SCR,GI_Status,SUM_Changed_Num,WLC_RISK,RISK_CLASS
SITE_0021,1,Church of St. Vlahara,Burgas,Nessebar,0,,0,,0,,0,,0,,0,,0,,1,Church,Mortared mixed masonry (stone + brick),1,Exposed,UNESCO World Heritage,Architectural-Historical Reserve,19.6484509,3.2058482,0.4202351,-0.5265370,26625.8769531,0.0000000,,0.839005624828902,Urban excl.,10.000000000000000,8.699999999999999,Direct,-1.000000000000000,0.000000000000000,,NoData>400m,1253.770377230961230,0.095591630000000,,112,Discontinuous urban fabric,1,1,3,,,3,99% cold spot,0.000000000000000,2.176432474650664,Low
SITE_0022,1,Church of the Holy Archangels,Burgas,Nessebar,0,,0,,0,,0,,0,,0,,0,,1,Church,Mortared mixed masonry (stone + brick),1,Exposed,UNESCO World Heritage,Architectural-Historical Reserve,15.8088846,5.6847997,0.6262606,-0.6356676,26482.3437500,0.0000000,,0.839005624828902,Urban excl.,10.000000000000000,8.699999999999999,Direct,-1.000000000000000,0.000000000000000,,NoData>400m,1105.941247364420406,0.095591630000000,,112,Discontinuous urban fabric,1,1,3,,,3,99% cold spot,0.000000000000000,2.176432474650664,Low
SITE_0023,1,Fortification of Mesembria Pontica,Burgas,Nessebar,0,,0,,0,,0,,0,,1,Fortress,1,Fortress,1,Fortress,Mortared stone masonry,1,Exposed,UNESCO World Heritage,Architectural-Historical Reserve,7.2653670,5.6850157,0.5627732,-0.7523416,26119.9179688,0.0000000,,0.839005624828902,Urban excl.,10.000000000000000,8.699999999999999,Direct,-1.000000000000000,0.000000000000000,,NoData>400m,768.026775798448057,0.100502450000000,,112,Discontinuous urban fabric,3,1,3,,,1,99% cold spot,0.000000000000000,2.491633825515168,Low
SITE_0024,1,Foundations of Basilica Eliusa,Burgas,Nessebar,0,,0,,0,,0,,1,Temple,1,Basilica,0,,0,,Mortared mixed masonry (stone + brick),1,Exposed,UNESCO World Heritage,Architectural-Historical Reserve,8.4821262,17.9302216,0.7693055,0.6116008,26751.6484375,0.0000000,,0.839005624828902,Urban excl.,10.000000000000000,8.699999999999999,Direct,-1.000000000000000,0.000000000000000,,NoData>400m,1337.076675218346736,0.095591630000000,,112,Discontinuous urban fabric,1,1,3,,,3,99% cold spot,0.000000000000000,2.176432474650664,Low
SITE_0025,1,Mesembria Terms,Burgas,Nessebar,0,,0,,0,,0,,0,,1,Infrastructure,0,,0,,Mortared stone masonry,1,Exposed,UNESCO World Heritage,Architectural-Historical Reserve,9.2926912,9.6221962,-0.3548247,-0.8769591,26407.0664062,0.0000000,,0.839005624828902,Urban excl.,10.000000000000000,8.699999999999999,Direct,-1.000000000000000,0.000000000000000,,NoData>400m,1039.052018599974645,0.095591630000000,,112,Discontinuous urban fabric,1,1,3,,,1,99% cold spot,0.000000000000000,1.745816912757584,Very Low
SITE_0026,1,Mesembria West St. John,Burgas,Nessebar,0,,0,,0,,1,Settlement,0,,0,,0,,0,,Earthwork / earthen architecture,1,Exposed,,,16.3165531,2.3704181,0.3143669,0.5378609,25519.1855469,0.0000000,,0.839005624828902,Urban excl.,10.000000000000000,8.699999999999999,Direct,-1.000000000000000,0.000000000000000,3,Near≤400m,119.772214254306348,0.100502450000000,Undifferentiated Sediment,112,Discontinuous urban fabric,3,1,3,5,,9,99% cold spot,0.000000000000000,4.320871980969083,Moderate
SITE_0027,1,Stara Mitropolia,Burgas,Nessebar,0,,0,,0,,0,,0,,1,Basilica,0,,0,,Mortared mixed masonry (stone + brick),1,Exposed,UNESCO World Heritage,Architectural-Historical Reserve,16.8896980,6.3957696,0.6933035,0.5087929,26554.2011719,0.0000000,,0.839005624828902,Urban excl.,10.000000000000000,8.699999999999999,Direct,-1.000000000000000,0.000000000000000,,NoData>400m,1186.633880390186050,0.095591630000000,,112,Discontinuous urban fabric,1,1,3,,,3,99% cold spot,0.000000000000000,2.176432474650664,Low
SITE_0028,1,Anchialos Building,Burgas,Pomorie,0,,0,,0,,0,,1,Villa,1,Villa,0,,1,Cemetery,Mortared stone masonry,1,Exposed,,,2.1940064,2.8696320,-0.7939100,-0.2987723,12321.0498047,0.0000000,0.7325126,0.549572720897840,Direct,18.000000000000000,12.600000000000000,Direct,-1.000000000000000,0.000000000000000,1,Direct,29.277670605795191,0.096770786000000,Undifferentiated Sediment,242,Complex cultivation patterns,1,1,3,1,1,1,99% cold spot,0.000000000000000,1.587711918585122,Very Low
SITE_0029,1,Anchialos Christian Church,Burgas,Pomorie,0,,0,,0,,0,,1,Town,0,,1,Cemetery,0,,Mortared stone masonry,1,Exposed,,,1.6413949,4.5134821,0.4004573,-0.1375069,12950.1396484,0.0000000,,0.839005624828902,Urban excl.,18.000000000000000,12.600000000000000,Direct,-1.000000000000000,0.000000000000000,2,Near≤400m,156.830778093530199,0.096770786000000,,112,Discontinuous urban fabric,1,1,3,3,,1,99% cold spot,0.000000000000000,1.916215015126346,Very Low
SITE_0030,1,Anchialos Church,Burgas,Pomorie,0,,0,,0,,0,,0,,0,,1,Church,0,,Mortared mixed masonry (stone + brick),1,Exposed,,,4.1826491,3.1087849,-0.1625207,-0.1857992,12501.9892578,0.0000000,,0.839005624828902,Urban excl.,18.000000000000000,12.600000000000000,Direct,-1.000000000000000,0.000000000000000,2,Direct,81.435236067606652,0.096770786000000,Undifferentiated Sediment,112,Discontinuous urban fabric,1,1,3,3,,3,99% cold spot,0.000000000000000,2.288325502805443,Low
SITE_0031,1,Anchialos Fortification,Burgas,Pomorie,0,,0,,0,,0,,0,,1,Fortified town,1,Fortress,0,,Mortared stone masonry,1,Exposed,,,7.4470453,4.9234114,-0.0783663,-0.5529696,12950.2402344,0.0000000,,0.839005624828902,Urban excl.,18.000000000000000,12.600000000000000,Direct,-1.000000000000000,0.000000000000000,2,Direct,85.016709034425773,0.096770786000000,Undifferentiated Sediment,112,Discontinuous urban fabric,1,1,3,3,,1,99% cold spot,0.000000000000000,1.916215015126346,Very Low
