Site_ID,Site,Cluster_3,WLC_RISK,GiZScore,GiPValue,NNeighbors,Gi_Bin
SITE_0112,Chernichino mound,2,5.456437882820000,2.252133609870000,0.024313829922500,9,2
SITE_0113,Patmos Fortress,1,4.333794499380000,1.201688792680000,0.229484146825000,9,0
SITE_0114,Duzhdovnitsa niches,3,5.063006106920000,1.363130004130000,0.172841542190000,9,0
SITE_0115,Perperikon,2,5.815368815080000,1.781889700090000,0.074767220510300,9,1
SITE_0116,Church of St. John Prodomus,1,3.134374235070000,1.166503236180000,0.243411061189000,9,0
SITE_0117,Necropolis of St. John Prodomus,1,3.625008289290000,1.166503236180000,0.243411061189000,9,0
SITE_0118,Toplitsa,1,4.290935529940000,2.979828500990000,0.002884098038220,9,3
SITE_0119,Moryantsi tomb,1,5.712965310690000,2.522517996990000,0.011651798776500,9,2
SITE_0120,Sivri Kaya niches,3,7.132481489100000,2.401998726720000,0.016305765187000,9,2
SITE_0121,Arkata,3,5.481237177550000,2.540061567980000,0.011083295631600,9,2
SITE_0122,Gouk in cave,3,4.559105041280000,2.540061567980000,0.011083295631600,9,2
SITE_0123,Pop Martinova Dypka,3,6.403369313820000,2.540061567980000,0.011083295631600,9,2
SITE_0124,Ada Tepe,2,5.937662838730000,2.103086011580000,0.035458251525500,9,2
SITE_0125,Redestyuk Fortress,2,3.576511062280000,1.884479815630000,0.059500102530900,9,1
SITE_0126,Tatul,2,5.444675865150000,2.424460103310000,0.015331167793800,9,2
SITE_0127,Ustra,2,5.537479172140000,0.915173695980000,0.360100461761000,9,0
SITE_0128,Vishegrad Fortress,1,5.509218336550000,1.291920295990000,0.196384748239000,9,0
SITE_0129,Hambar Kaya,2,6.030466145720000,0.915173695980000,0.360100461761000,9,0
SITE_0130,Asar Kaya niches,3,6.916797640020000,1.794277914640000,0.072768821376000,9,1
SITE_0131,Mal Asar,2,6.030466145720000,0.915173695980000,0.360100461761000,9,0
SITE_0132,Sredna Arda Rock cut niches,3,5.988943746780000,2.059487233700000,0.039447586739300,9,2
SITE_0133,Shan Kaya,3,5.328559435390000,2.306707678600000,0.021071121902800,9,2
SITE_0134,Belovo Basilica,2,5.860170473200000,1.738467462120000,0.082128478573900,9,1
SITE_0135,St. Spas Basilica,2,5.860170473200000,1.738467462120000,0.082128478573900,9,1
SITE_0136,Roman bridge Bratsigovo,2,5.160819540890000,1.026500135590000,0.304655914131000,9,0
SITE_0137,Dzhenevra,2,5.160819540890000,1.245889515780000,0.212804983704000,9,0
SITE_0138,Pashino Bardo,2,5.160819540890000,1.634381718050000,0.102178724544000,9,0
SITE_0139,Tsepina,2,6.547759387850000,1.475958764670000,0.139954962315000,9,0
SITE_0140,Church of St. Dimitar,1,4.765242912720000,1.065875443170000,0.286479967097000,9,0
SITE_0141,Peristera Fortress,1,2.933462138980000,1.023355953570000,0.306139591339000,9,0
SITE_0142,Kulata Gradot,2,5.695841482010000,1.475958764670000,0.139954962315000,9,0
SITE_0143,The tower Kalinkata,2,5.695841482010000,1.795100792790000,0.072637642494000,9,1
SITE_0144,Tatarsko Kale,2,4.090775658640000,-1.250902731800000,0.210969991409000,9,0
SITE_0145,Emporion Pistiros,1,3.772108989490000,1.738467462120000,0.082128478573900,9,1
SITE_0146,Zhaba Mogila,1,3.793579216320000,-1.446764141910000,0.147962992928000,9,0
SITE_0147,Lyubnishko Kale,2,5.695841482010000,0.736661429552000,0.461328273702000,9,0
SITE_0148,Bona Mansio,1,3.527035642850000,1.738467462120000,0.082128478573900,9,1
SITE_0149,Tell Yunatsite,1,5.709523035550000,0.980685840682000,0.326747701154000,9,0
SITE_0150,Anevo Kale,2,4.090775658640000,-2.615442065260000,0.008911203743010,9,-3
SITE_0151,Asenova Fortress,3,6.190360555090000,2.155072405960000,0.031156168653300,9,2
SITE_0152,Bachkovo Monastery,1,4.558204659770000,2.155072405960000,0.031156168653300,9,2
SITE_0153,Church of St. George Metokha,1,4.695076629850000,1.899787674520000,0.057460989073400,9,1
SITE_0154,Church of the Holy Virgin of Petrich,3,6.319626890870000,2.155072405960000,0.031156168653300,9,2
SITE_0155,Stanimaka Fortress ruins,1,3.984051389180000,1.899787674520000,0.057460989073400,9,1
SITE_0156,Golyama Dragoyna,2,6.783614063250000,3.487587564510000,0.000487399293323,9,3
SITE_0157,Monastery of St. Cyril and St. Yulita,2,5.008252567370000,1.798831914850000,0.072045273233800,9,1
SITE_0158,Diocletionopolis,3,1.988378563950000,-2.821666515910000,0.004777482821070,9,-3
SITE_0159,Hisarya Basilica 1,1,2.661085247000000,-2.821666515910000,0.004777482821070,9,-3
SITE_0160,Hisarya Basilica 3,1,2.661085247000000,-2.821666515910000,0.004777482821070,9,-3
SITE_0161,Hisarya Basilica 8,1,2.661085247000000,-2.821666515910000,0.004777482821070,9,-3
SITE_0162,Hisarya Fortress walls,1,2.288974759320000,-2.821666515910000,0.004777482821070,9,-3
SITE_0163,Hisarya Roman Baths,3,1.988378563950000,-2.821666515910000,0.004777482821070,9,-3
SITE_0164,Stone of Tsar Asen,3,4.319626890870000,0.827269127828000,0.408084545813000,9,0
SITE_0165,Monastery of Saints Cosmas and Damian,3,6.090610277620000,1.798831914850000,0.072045273233800,9,1
SITE_0166,Maltepe,1,5.079085642960000,0.846379213885000,0.397341238849000,9,0
SITE_0167,Red Church,1,4.042553403590000,1.325849836860000,0.184889441518000,9,0
